,OBJECTID,Region,Division,ID,School,Municipali,Legislativ,Total_Enro,Total_Inst,Color_Code,Barangay,Province,District,Type_of_Sc,Rooms_used,Rooms_unused
0,1,NCR,Quezon City,319506,National Orthopedic Hospital School for Crippled Children,QUEZON CITY,1st,85,8,Blue,,NCR SECOND DISTRICT,School District I,School with no Annexes,6.0,0.0
1,2,NCR,Pasay City,319602,Philippine National School for the Blind,PASAY CITY,Lone,27,9,Blue,,NCR FOURTH DISTRICT,Pasay City West District,School with no Annexes,5.0,0.0
2,3,NCR,Pasay City,319603,Philippine School for the Deaf,PASAY CITY,Lone,251,84,Blue,,NCR FOURTH DISTRICT,Pasay City West District,School with no Annexes,25.0,0.0
3,4,NCR,Pasay City,223002,Philippine School for the Deaf,PASAY CITY,Lone,260,84,Blue,,NCR FOURTH DISTRICT,Pasay City West District,School with no Annexes,38.0,0.0
4,5,NCR,Pasay City,223001,Philippine National School for the Blind,PASAY CITY,Lone,46,9,Blue,,NCR FOURTH DISTRICT,Pasay City West District,School with no Annexes,7.0,2.0
5,6,NCR,Quezon City,222504,NOH-School for Crippled Children,QUEZON CITY,1st,71,0,Black,,NCR SECOND DISTRICT,School District I,Mother school,6.0,0.0
6,7,NCR,Caloocan City,223512,Bagumbong Elementary School Annex,KALOOKAN CITY,1st,1475,14,Red,171,NCR THIRD DISTRICT,Caloocan North IV,Annex or Extension school(s),11.0,0.0
7,8,NCR,Caloocan City,223501,Caloocan North ES,KALOOKAN CITY,1st,5919,40,Red,179,NCR THIRD DISTRICT,Caloocan North I,School with no Annexes,44.0,0.0
8,9,NCR,Caloocan City,223511,Rene Cayetano ES (Gabriela Silang ES Annex I),KALOOKAN CITY,1st,2708,23,Red,176,NCR THIRD DISTRICT,Caloocan North II,Annex or Extension school(s),24.0,0.0
9,10,NCR,Las PiÃ±as City,226502,CAA ES Annex,CITY OF LAS PIÃAS,Lone,1587,14,Red,CAA,NCR FOURTH DISTRICT,Las PiÃ±as City I,Annex or Extension school(s),14.0,0.0
10,11,NCR,Las PiÃ±as City,226503,Talon 3 Elementary School,CITY OF LAS PIÃAS,Lone,1657,0,Black,,NCR FOURTH DISTRICT,Las PiÃ±as City II,Annex or Extension school(s),17.0,0.0
11,12,NCR,Malabon City,136852,Acacia ES,CITY OF MALABON,Lone,2681,22,Red,Acacia,NCR THIRD DISTRICT,Malabon District V,School with no Annexes,24.0,0.0
12,13,NCR,Malabon City,136838,TaÃ±ong ES I,CITY OF MALABON,Lone,1223,13,Red,Tañong,NCR THIRD DISTRICT,Malabon District II,School with no Annexes,12.0,0.0
13,14,NCR,Malabon City,136850,Tinajeros ES,CITY OF MALABON,Lone,3347,30,Red,Tinajeros,NCR THIRD DISTRICT,Malabon District IV,School with no Annexes,31.0,0.0
14,15,NCR,Mandaluyong City,136666,Eulogio Rodriguez Integrated School,CITY OF MANDALUYONG,Lone,2555,39,Red,Hagdang Bato Itaas,NCR SECOND DISTRICT,Mandaluyong City District II,School with no Annexes,45.0,0.0
15,16,NCR,Mandaluyong City,136668,Ilaya Barangka Integrated School,CITY OF MANDALUYONG,Lone,1391,33,Blue,Barangka Ilaya,NCR SECOND DISTRICT,Mandaluyong City District II,School with no Annexes,30.0,0.0
16,17,NCR,Mandaluyong City,224002,Jose Fabella Memorial School,CITY OF MANDALUYONG,Lone,1445,14,Red,,NCR SECOND DISTRICT,Mandaluyong City District II,School with no Annexes,15.0,0.0
